User_ID,Session_ID,Product_ID,Category_Name,Brand_ID,Event_Type,Timestamp,Device_Type,Traffic_Source,User_Region,User_Age_Group,Membership_Type,Session_Duration_sec,Time_Spent_On_Product_sec,Time_Since_Last_Event_sec,Event_Sequence_Order,Product_Price,Discount_Percent,Product_Rating,Review_Count,Stock_Status,Delivery_Option,Previous_Views,Previous_Cart_Additions,Previous_Purchases,Category_View_Count,Brand_Interaction_Count,Wishlist_Count,Cart_Abandonment_Rate,Purchase_Frequency,Average_Order_Value,Customer_Loyalty_Score,Click_Rate,Page_Scroll_Depth_Percent,Repeat_Visit_Count,Search_Frequency,Offer_Interaction_Count,Recommendation_Action
10861,56186,24275,Home_Appliances,3768,Product_View,2024-09-28 19:06:17,Mobile,Search_Engine,North,18-24,Silver,1193,586,1368,15,9779.09,21.5,2.24,14608,In_Stock,Standard,29,1,22,35,18,28,0.729,0.432,5146.16,42.23,0.825,60.91,8,32,8,View
15391,58657,21481,Footwear,3110,Purchase,2024-05-26 01:28:27,Tablet,Direct,East,25-34,Regular,533,444,1791,39,49398.97,26.56,3.58,5396,Out_of_Stock,Standard,81,7,18,31,29,20,0.108,0.106,44262.9,69.4,0.098,33.21,26,1,19,View
15227,55742,20607,Fashion,3394,Product_View,2024-11-30 22:29:03,Mobile,Email,Central,18-24,Regular,3251,362,866,33,38808.97,38.92,4.32,6513,In_Stock,Standard,13,19,27,61,29,0,0.234,0.378,38055.08,12.8,0.761,50.32,2,4,8,Add_to_Cart
15192,50278,20672,Beauty,3561,Search_Click,2024-09-20 18:29:25,Mobile,Search_Engine,West,18-24,Silver,4638,375,1090,52,17634.49,23.22,1.72,11792,Out_of_Stock,Express,1,0,13,33,6,15,0.706,0.747,22921.73,24.51,0.34,96.87,1,6,6,View
13773,50066,23316,Grocery,3182,Product_View,2024-11-24 10:59:27,Mobile,Email,West,35-44,Gold,949,467,1541,45,76494.76,8.82,1.85,9912,In_Stock,Express,68,9,6,44,25,12,0.642,0.032,42291.42,51.34,0.406,43.65,24,26,19,Ignore
13093,54263,25023,Grocery,3573,Wishlist_Add,2024-07-17 00:54:49,Mobile,Advertisement,Central,35-44,Regular,1457,313,732,5,53638.12,34.19,1.52,12118,In_Stock,Express,9,3,19,50,6,28,0.923,0.61,27656.03,34.86,0.732,82.95,26,30,1,View
15735,55705,20017,Home_Appliances,3443,Cart_Add,2024-09-16 07:50:33,Mobile,Advertisement,East,18-24,Silver,4397,873,617,41,73034.39,2.03,4.9,8429,In_Stock,Standard,18,6,7,57,23,28,0.472,0.42,35447.4,22.25,0.76,89.03,38,4,5,View
10467,58595,25232,Electronics,3747,Product_View,2024-03-14 03:28:42,Desktop,Email,Central,25-34,Gold,4376,748,379,3,34719.14,26.78,3.89,1344,Limited_Stock,Express,44,0,24,10,16,19,0.837,0.672,8152.11,37.69,0.058,67.65,31,19,3,View
15335,57990,25735,Electronics,3754,Product_View,2024-03-08 02:27:21,Mobile,Email,North,35-44,Regular,4881,184,876,47,46825.06,19.73,3.83,133,In_Stock,Standard,19,6,29,5,28,14,0.179,0.72,6558.4,43.6,0.591,17.0,24,32,19,Add_to_Cart
14427,56256,22874,Beauty,3130,Product_View,2024-09-09 20:50:25,Tablet,Search_Engine,East,18-24,Silver,3505,796,146,9,23281.91,47.11,3.47,679,In_Stock,Standard,61,0,2,55,8,28,0.804,0.421,9368.42,28.1,0.199,52.36,10,13,15,Ignore
15579,57442,22595,Beauty,3776,Search_Click,2024-05-13 23:03:45,Desktop,Direct,Central,45-54,Regular,4616,357,1067,38,626.94,12.55,4.62,324,In_Stock,Express,29,22,24,65,18,27,0.999,0.376,12041.37,95.11,0.704,46.2,26,18,18,Add_to_Cart
